nom_de_la_station;nom_de_la_ligne;stop_lon;stop_lat;pollution_air
Goussainville;RER D;2.4625658079312593;49.02341075826703;0.25
Gretz-Armainvilliers;RER E;2.727167738339898;48.74645539980236;0.25
Haussmann Saint-Lazare;RER E;2.328646179742093;48.874998862001185;0.5
Havre-Caumartin;Métro 9;2.327677208279404;48.8737568325288;0.75
Hôpital Bicêtre;Métro 14;2.349946533239157;48.809971090725966;
Jaurès;Métro 7B;2.370451734004561;48.882344230208226;0.75
Jouy-en-Josas;RER C;2.1644478368550066;48.764760068378486;0.25
Jules Joffrin;Métro 12;2.3443200293804827;48.892492268201934;0.5
La Borne Blanche;RER D;2.5069908684194053;49.1261949449139;0.25
La Défense (Grande Arche);Métro 1;2.2379881830988277;48.89181786646099;0.5
La Motte-Picquet - Grenelle;Métro 6;2.298957096977008;48.848765448122315;0.25
La Muette;Métro 9;2.2740962446697224;48.85809196689865;0.75
La Plaine Stade de France;RER B;2.362459916604931;48.918076675621;0.25
Lardy;RER C;2.255014220399748;48.520620553497956;0.25
Le Kremlin-Bicêtre;Métro 7;2.362130413802561;48.81025257278989;0.75
Les Ardoines;RER C;2.409587305033223;48.78248922625494;0.25
Les Boullereaux Champigny;RER E;2.511990843607618;48.82486398816196;0.25
Les Saules;RER C;2.4174549898851208;48.74520105223681;0.25
L'Haÿ-les-Roses;Métro 14;2.354991210566311;48.77532646395088;
Liège;Métro 13;2.3268526712397555;48.87953493737576;0.5
Louis Blanc;Métro 7B;2.364365143550256;48.88118341152446;0.75
Louvres;RER D;2.5018113143714777;49.04933726826723;0.25
Mairie de Saint-Ouen;Métro 13;2.333893080685357;48.911958864732505;0.75
Mairie des Lilas;Métro 11;2.4162978208011863;48.87974365006289;0.75
Mairie d'Ivry;Métro 7;2.383498053635828;48.811210093393306;0.75
Maisons-Laffitte;RER A;2.1446722659338855;48.94574060746957;0.25
Malakoff - Plateau de Vanves;Métro 13;2.298295381702497;48.82220756804045;0.5
Malesherbes;Métro 3;2.309487846960011;48.88284002257779;0.75
Marcadet - Poissonniers;Métro 4;2.3495451670385634;48.89127969913649;0.5
Marcadet - Poissonniers;Métro 12;2.3500246218070155;48.89154760285429;0.75
Marolles-en-Hurepoix;RER C;2.290908349251896;48.56564453550255;0.25
Massy - Verrières;RER B;2.273978779055319;48.7349579552114;0.25
Melun;RER D;2.65469836071817;48.527491277248295;0.25
Ménilmontant;Métro 2;2.38353966877949;48.866440166781686;0.75
Michel Bizot;Métro 8;2.402366739988004;48.83707743103578;0.5
Miromesnil;Métro 9;2.3146768238242688;48.87369210197914;0.75
Monceau;Métro 2;2.309412967374703;48.880568770126835;0.75
Montigny - Beauchamp;RER C;2.1965151756043033;49.007744118117;0.25
Montparnasse Bienvenue;Métro 4;2.3243294607791096;48.84385251452581;0.5
Nanterre Ville;RER A;2.19511769490499;48.89501972616058;0.25
Neuilly Porte Maillot;RER C;2.284217509613705;48.878347804048644;0.75
Notre-Dame des Champs;Métro 12;2.328564944227944;48.84508150807547;0.5
Oberkampf;Métro 9;2.3681558453945515;48.86477709852134;1.0
Odéon;Métro 4;2.339486020317896;48.85210334038093;0.5
Pantin;RER E;2.4010414542870944;48.897987452300434;0.25
Passy;Métro 6;2.285839418881462;48.85751508962033;0.25
Père Lachaise;Métro 2;2.3876893260656895;48.86248637862667;1.0
Pereire;Métro 3;2.297701123838181;48.884929864637186;0.75
Pierrefitte - Stains;RER D;2.3703314284767747;48.96277628555098;0.25
Place Monge;Métro 7;2.3521548685787708;48.842666385642886;0.75
Pointe du Lac;Métro 8;2.464317312722042;48.76876136434425;0.25
Pont Cardinet;Métro 14;2.3151908648850013;48.888102389888395;0.75
Pont de Sèvres;Métro 9;2.2305052170885546;48.82966919074605;0.75
Port Royal;RER B;2.3371383995944486;48.840064350218256;0.5
Porte de Clichy;Métro 13;2.31320835075881;48.89443128801746;0.75
Porte de Clichy;RER C;2.3159411535514716;48.894262568309564;0.75
Porte des Lilas;Métro 3B;2.4069512666209;48.87663999703494;0.75
Rennes;Métro 12;2.32802068556793;48.84819024311401;0.75
Reuilly - Diderot;Métro 8;2.3872010704093922;48.84721292669797;0.75
Richelieu - Drouot;Métro 8;2.3384190255427955;48.87173920910264;0.75
Rosny-Bois-Perrier;Métro 11;2.480609800808591;48.88302567942574;
Rue Saint-Maur;Métro 3;2.380486332251813;48.86413108020325;0.75
Rueil-Malmaison;RER A;2.172366417897185;48.88767250064626;0.25
Saint-Cyr;RER C;2.072712440765476;48.79877460471833;0.25
Saint-Germain-des-Prés;Métro 4;2.3339874291342255;48.85367371343323;0.5
Saint-Lazare;Métro 3;2.3244924701707954;48.87496650103443;0.75
Saint-Lazare;Métro 13;2.325488390672613;48.87538131600797;0.5
Saint-Martin d'Etampes;RER C;2.145258831307165;48.42748765080825;0.25
Saint-Michel Notre-Dame;RER B;2.344959780029387;48.853023793740164;0.5
Saint-Philippe-du-Roule;Métro 9;2.3101372056878247;48.87215513107743;1.0
Saint-Placide;Métro 4;2.327054815066312;48.84700665158937;0.5
Saint-Quentin en Yvelines - Montigny-le-Bretonneux;RER C;2.044615988930814;48.78748491597792;0.25
Saint-Rémy-lès-Chevreuse;RER B;2.071385742904064;48.702732696472715;0.25
Saint-Sulpice;Métro 4;2.330953550650454;48.85113858957915;0.5
Sèvres-Lecourbe;Métro 6;2.309529610430393;48.84564768265073;0.25
Survilliers - Fosses;RER D;2.525517836696695;49.09951161811565;0.25
Thiais - Orly (Pont de Rungis);Métro 14;2.3723847511214924;48.746835369386844;
Tolbiac;Métro 7;2.357018567738162;48.82615323734341;0.75
Vauboyen;RER C;2.1925522822775045;48.75897132762851;0.25
Vert Galant;RER B;2.5663968806983126;48.944091645418105;0.25
Victor Hugo;Métro 2;2.2859020006220643;48.8698545716049;0.75
Villiers;Métro 2;2.3157614492393397;48.88121227337839;0.75
Villiers-le-Bel - Gonesse - Arnouville;RER D;2.4162467958973055;48.99377204005172;0.25
Volontaires;Métro 12;2.3079833805768515;48.84141172841498;0.75
Vosves;RER D;2.5994097381795305;48.51507609100275;0.25
Ablon;RER C;2.4198671478914595;48.72578126379895;0.25
Aéroport d'Orly;Métro 14;2.3625135570893536;48.727660875887324;
